	1883618	649956,365,PM2.5,Mean,mcg per cubic meter,CD,209,Parkchester and Soundview (CD9),2018,7.39
	1871774	649869,365,PM2.5,Mean,mcg per cubic meter,UHF34,410,Rockaways,2018,6.28
	1846535	649677,365,PM2.5,Mean,mcg per cubic meter,UHF42,105,Crotona -Tremont,2018,7.89
	1844984	649665,365,PM2.5,Mean,mcg per cubic meter,UHF42,101,Kingsbridge - Riverdale,2018,7.18
	1843151	649650,365,PM2.5,Mean,mcg per cubic meter,Borough,1,Bronx,2018,7.46
	1835067	643656,375,NO2,Mean,ppb,CD,312,Borough Park (CD12),2018,22.11
	1833328	643641,375,NO2,Mean,ppb,CD,307,Sunset Park (CD7),2018,23.44
	1830226	643614,375,NO2,Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),2018,19.26
	1819839	643521,375,NO2,Mean,ppb,UHF34,409,Southeast Queens,2018,17.99
	1790417	629156,652,O3,Estimated Annual Rate,"per 100,000 residents",Borough,5,Staten Island,2015,7.5
	1788020	629045,661,O3,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,405,Ridgewood - Forest Hills,2015,1.9
	1779983	628998,655,O3,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,406,Fresh Meadows,2015,13.8
	1772322	628955,659,O3,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,501,Port Richmond,2015,74.6
	1766071	628921,659,O3,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,105,Crotona -Tremont,2015,112
	1762358	628901,653,O3,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,405,Ridgewood - Forest Hills,2015,43.3
	1759679	628887,653,O3,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,301,Washington Heights,2015,99.8
	1745344	628571,650,PM2.5,Estimated Annual Rate,"per 100,000 adults",UHF42,501,Port Richmond,2015,17.4
	1736555	628523,657,PM2.5,Estimated Annual Rate- 18 Yrs and Older,"per 100,000 adults",UHF42,501,Port Richmond,2015,45.6
	1727014	628472,648,PM2.5,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,408,Jamaica,2015,69.6
	1726826	628471,648,PM2.5,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,407,Southwest Queens,2015,43
	1720058	628437,648,PM2.5,Estimated Annual Rate- Children 0 to 17 Yrs Old,"per 100,000 children",UHF42,101,Kingsbridge - Riverdale,2015,65.8
	1708637	606051,365,PM2.5,Mean,mcg per cubic meter,CD,411,Bayside and Little Neck (CD11),2018,8
	1705347	606028,365,PM2.5,Mean,mcg per cubic meter,CD,403,Jackson Heights (CD3),2017,7.91
	1703326	606013,365,PM2.5,Mean,mcg per cubic meter,CD,316,Brownsville (CD16),2017,8.62
	1697921	605973,365,PM2.5,Mean,mcg per cubic meter,CD,303,Bedford Stuyvesant (CD3),2018,8.55
	1692328	605934,365,PM2.5,Mean,mcg per cubic meter,CD,202,Hunts Point and Longwood (CD2),2018,9.5
	1666572	605739,365,PM2.5,Mean,mcg per cubic meter,UHF42,308,Greenwich Village - SoHo,2018,9.91
	1662577	605709,365,PM2.5,Mean,mcg per cubic meter,UHF42,209,Bensonhurst - Bay Ridge,2018,7.83
	1661778	605703,365,PM2.5,Mean,mcg per cubic meter,UHF42,207,East Flatbush - Flatbush,2018,8.26
	1652895	605347,386,O3,Mean,ppb,CD,317,East Flatbush (CD17),2018,31.17
	1652143	605339,386,O3,Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),2018,30.34
	1645187	605264,386,O3,Mean,ppb,UHF42,407,Southwest Queens,2018,31.93
	1635834	603059,375,NO2,Mean,ppb,CD,401,Long Island City and Astoria (CD1),2018,19.5
	1631510	603020,375,NO2,Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),2018,21.2
	1630523	603011,375,NO2,Mean,ppb,CD,303,Bedford Stuyvesant (CD3),2018,19.99
	1623144	602947,375,NO2,Mean,ppb,CD,105,Midtown (CD5),2017,35.17
	1623050	602946,375,NO2,Mean,ppb,CD,105,Midtown (CD5),2018,28.82
	1614637	602868,375,NO2,Mean,ppb,UHF34,210,Coney Island - Sheepshead Bay,2018,9.1
	1611206	602836,375,NO2,Mean,ppb,UHF34,103,Fordham - Bronx Pk,2017,22.82
	1588693	550109,375,NO2,Mean,ppb,CD,316,Brownsville (CD16),2017,19.3
	1585685	550082,375,NO2,Mean,ppb,CD,307,Sunset Park (CD7),2017,18.96
	1574593	549984,375,NO2,Mean,ppb,UHF34,503504,Southern SI,2016,17.98
	1562420	549870,375,NO2,Mean,ppb,UHF42,409,Southeast Queens,2016,24.02
	1558143	549830,375,NO2,Mean,ppb,UHF42,306,Chelsea - Clinton,2017,28.46
	1553396	549786,375,NO2,Mean,ppb,UHF42,202,Downtown - Heights - Slope,2016,26.27
	1551046	549764,375,NO2,Mean,ppb,UHF42,102,Northeast Bronx,2017,18.87
	1548790	549460,386,O3,Mean,ppb,CD,501,St. George and Stapleton (CD1),2017,27.5
	1541787	549387,386,O3,Mean,ppb,UHF34,304,Upper West Side,2017,25.57
	1541411	549383,386,O3,Mean,ppb,UHF34,211,Williamsburg - Bushwick,2017,29.33
