Time,GeoType,GeoID,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2005,Borough,1,Bronx,184.5,187.1,18188	
2005,Borough,2,Brooklyn,77.4,77.9,14447	
2005,Borough,3,Manhattan,138.3,137.1,18146	
2005,Borough,4,Queens,55.3,55.4,9559	
2005,Borough,5,Staten Island,60.3,60.2,2085	
2005,Citywide,1,New York City,99.5,100.3,62425	
2005,UHF42,101,Kingsbridge - Riverdale,54.1,52.2,376	
2005,UHF42,102,Northeast Bronx,115.7,112.0,1604	
2005,UHF42,103,Fordham - Bronx Pk,151.4,155.4,2762	
2005,UHF42,104,Pelham - Throgs Neck,116.2,117.3,2562	
2005,UHF42,105,Crotona -Tremont,300.1,306.9,4213	
2005,UHF42,106,High Bridge - Morrisania,250.7,257.9,3504	
2005,UHF42,107,Hunts Point - Mott Haven,280.0,287.4,2518	
2005,UHF42,201,Greenpoint,63.8,59.8,552	
2005,UHF42,202,Downtown - Heights - Slope,97.4,94.6,1650	
2005,UHF42,203,Bedford Stuyvesant - Crown Heights,195.1,197.6,4561	
2005,UHF42,204,East New York,166.3,171.4,2143	
2005,UHF42,205,Sunset Park,95.6,89.7,826	
2005,UHF42,206,Borough Park,24.9,24.4,567	
2005,UHF42,207,East Flatbush - Flatbush,97.5,99.3,2272	
2005,UHF42,208,Canarsie - Flatlands,65.2,64.2,945	
2005,UHF42,209,Bensonhurst - Bay Ridge,25.1,24.8,401	
2005,UHF42,210,Coney Island - Sheepshead Bay,37.8,35.4,806	
2005,UHF42,211,Williamsburg - Bushwick,225.3,224.6,3193	
2005,UHF42,301,Washington Heights,97.7,98.9,2001	
2005,UHF42,302,Central Harlem - Morningside Heights,286.4,290.6,3556	
2005,UHF42,303,East Harlem,276.5,278.2,2304	
2005,UHF42,304,Upper West Side,70.3,67.9,1291	
2005,UHF42,305,Upper East Side,22.1,20.7,397	
2005,UHF42,306,Chelsea - Clinton,60.6,57.8,725	
2005,UHF42,307,Gramercy Park - Murray Hill,37.7,34.0,410	
2005,UHF42,308,Greenwich Village - SoHo,17.6,17.1,129	
2005,UHF42,309,Union Square - Lower East Side,70.2,68.5,1172	
2005,UHF42,310,Lower Manhattan,47.3,45.0,166	
2005,UHF42,401,Long Island City - Astoria,54.5,53.1,928	
2005,UHF42,402,West Queens,41.6,41.3,1530	
2005,UHF42,403,Flushing - Clearview,21.6,21.1,438	
2005,UHF42,404,Bayside - Little Neck,16.3,15.2,106	
2005,UHF42,405,Ridgewood - Forest Hills,43.3,42.9,837	
2005,UHF42,406,Fresh Meadows,38.3,37.7,275	
2005,UHF42,407,Southwest Queens,56.5,56.6,1126	
2005,UHF42,408,Jamaica,90.8,90.9,1931	
2005,UHF42,409,Southeast Queens,52.6,51.4,771	
2005,UHF42,410,Rockaways,96.9,94.8,746	
2005,UHF42,501,Port Richmond,117.0,123.3,580	
2005,UHF42,502,Stapleton - St. George,81.3,81.1,740	
2005,UHF42,503,Willowbrook,36.4,36.0,238	
2005,UHF42,504,South Beach - Tottenville,31.9,31.6,448	
2006,Borough,1,Bronx,189.4,191.9,18701	
2006,Borough,2,Brooklyn,75.9,76.3,14186	
2006,Borough,3,Manhattan,146.3,144.6,19238	
2006,Borough,4,Queens,58.8,59.0,10173	
2006,Borough,5,Staten Island,64.7,64.3,2236	
2006,Citywide,1,New York City,102.7,103.5,64534	
2006,UHF42,101,Kingsbridge - Riverdale,57.5,55.0,395	
2006,UHF42,102,Northeast Bronx,122.2,120.4,1722	
2006,UHF42,103,Fordham - Bronx Pk,174.5,176.7,3142	
2006,UHF42,104,Pelham - Throgs Neck,129.3,131.0,2863	
2006,UHF42,105,Crotona -Tremont,304.2,312.0,4294	
2006,UHF42,106,High Bridge - Morrisania,280.8,288.3,3950	
2006,UHF42,107,Hunts Point - Mott Haven,319.1,326.5,2890	
2006,UHF42,201,Greenpoint,63.0,57.4,533	
2006,UHF42,202,Downtown - Heights - Slope,100.3,97.1,1696	
2006,UHF42,203,Bedford Stuyvesant - Crown Heights,171.0,173.7,4020	
2006,UHF42,204,East New York,166.9,173.2,2180	
2006,UHF42,205,Sunset Park,81.0,78.0,722	
2006,UHF42,206,Borough Park,25.5,24.9,579	
2006,UHF42,207,East Flatbush - Flatbush,102.5,103.5,2353	
2006,UHF42,208,Canarsie - Flatlands,78.1,75.7,1113	
2006,UHF42,209,Bensonhurst - Bay Ridge,24.7,24.3,394	
2006,UHF42,210,Coney Island - Sheepshead Bay,47.2,45.5,1037	
2006,UHF42,211,Williamsburg - Bushwick,187.5,188.0,2699	
2006,UHF42,301,Washington Heights,84.5,85.4,1724	
2006,UHF42,302,Central Harlem - Morningside Heights,274.4,277.5,3439	
2006,UHF42,303,East Harlem,342.7,342.7,2857	
2006,UHF42,304,Upper West Side,53.4,51.7,982	
2006,UHF42,305,Upper East Side,24.5,22.3,426	
2006,UHF42,306,Chelsea - Clinton,63.8,59.7,760	
2006,UHF42,307,Gramercy Park - Murray Hill,46.0,41.9,509	
2006,UHF42,308,Greenwich Village - SoHo,19.4,18.7,141	
2006,UHF42,309,Union Square - Lower East Side,78.7,76.7,1319	
2006,UHF42,310,Lower Manhattan,49.7,49.0,191	
2006,UHF42,401,Long Island City - Astoria,61.1,59.1,1032	
2006,UHF42,402,West Queens,45.2,45.2,1672	
2006,UHF42,403,Flushing - Clearview,24.6,24.7,512	
2006,UHF42,404,Bayside - Little Neck,17.4,17.9,125	
2006,UHF42,405,Ridgewood - Forest Hills,33.7,33.0,642	
2006,UHF42,406,Fresh Meadows,42.4,42.2,308	
2006,UHF42,407,Southwest Queens,59.1,59.1,1172	
2006,UHF42,408,Jamaica,101.5,102.2,2171	
2006,UHF42,409,Southeast Queens,60.3,59.3,885	
2006,UHF42,410,Rockaways,92.8,90.8,718	
2006,UHF42,501,Port Richmond,134.2,138.9,661	
2006,UHF42,502,Stapleton - St. George,86.8,86.9,798	
2006,UHF42,503,Willowbrook,33.9,33.1,219	
2006,UHF42,504,South Beach - Tottenville,34.6,33.8,481	
2007,Borough,1,Bronx,206.3,208.7,20513	
2007,Borough,2,Brooklyn,76.4,76.8,14398	
2007,Borough,3,Manhattan,150.8,148.5,19862	
2007,Borough,4,Queens,51.3,51.5,8920	
2007,Borough,5,Staten Island,63.8,63.1,2212	
2007,Citywide,1,New York City,104.4,105.0,65905	
2007,UHF42,101,Kingsbridge - Riverdale,69.7,67.1,485	
2007,UHF42,102,Northeast Bronx,121.4,119.5,1717	
2007,UHF42,103,Fordham - Bronx Pk,183.6,185.3,3318	
2007,UHF42,104,Pelham - Throgs Neck,143.4,144.8,3188	
2007,UHF42,105,Crotona -Tremont,323.2,329.5,4576	
2007,UHF42,106,High Bridge - Morrisania,278.5,286.9,3990	
2007,UHF42,107,Hunts Point - Mott Haven,341.1,346.4,3119	
2007,UHF42,201,Greenpoint,77.2,69.2,653	
2007,UHF42,202,Downtown - Heights - Slope,96.5,92.7,1633	
2007,UHF42,203,Bedford Stuyvesant - Crown Heights,184.5,186.8,4347	
2007,UHF42,204,East New York,169.8,174.8,2222	
2007,UHF42,205,Sunset Park,79.3,76.8,719	
2007,UHF42,206,Borough Park,25.2,24.8,583	
2007,UHF42,207,East Flatbush - Flatbush,101.0,102.2,2316	
2007,UHF42,208,Canarsie - Flatlands,71.1,70.0,1033	
2007,UHF42,209,Bensonhurst - Bay Ridge,27.5,27.0,444	
2007,UHF42,210,Coney Island - Sheepshead Bay,46.9,45.0,1037	
2007,UHF42,211,Williamsburg - Bushwick,204.8,205.9,2998	
2007,UHF42,301,Washington Heights,102.6,103.2,2076	
2007,UHF42,302,Central Harlem - Morningside Heights,305.6,306.7,3836	
2007,UHF42,303,East Harlem,335.6,338.0,2831	
2007,UHF42,304,Upper West Side,54.6,52.5,996	
2007,UHF42,305,Upper East Side,22.0,20.2,386	
2007,UHF42,306,Chelsea - Clinton,49.4,46.2,596	
